Balance Sheet,,,,,,,,,,,,
Voce (€ milioni),2020,2021,2022,2023,2024,2025,,,,,,
Attivo,,,,,,,,,,,,
Cassa/Banca attiva,250,,,,,,,,,,,
Crediti commerciali,1250,2000,2400,2750,3000,3150,,,,,,
Rimanenze,500,650,800,950,1100,1100,,,,,,
Tangibles assets,1400,2800,5500,6500,5890,5158.352,,,,,,
Intangibles assets,228,195,158.7,115.14,63,0,,,,,,
Imm.ni finanziarie,100,100,100,100,100,100,,,,,,
Totale Attivo,3728,5745,8958.7,10415.14,10153,9508.352,,,,,,
,,,,,,,,,,,,
Passivo,,,,,,,,,,,,
Debiti commerciali,1000,1400,1600,1800,2300,2500,,,,,,
Debiti verso banche,200,200,200,200,200,0,,,,,,
Fondo TFR,125,,,,,,,,,,,
Passivo,1325,1856.25,2194.0625,2538.765625,3161,3290,,,,,,
Capitale sociale,1528,1528,1528,1528,1528,1528,,,,,,
Riserve,500,,,,,,,,,,,
Utile d'esercizio,375.1,,,,,,,,,,,
Total PN,2403.1,2958.031,3766.55998,4830.87835,5780.727238,6888.828812,,,,,,
Totale Passivo+PN,3728.1,4814.281,5960.62248,7369.643975,8941.727238,10178.82881,,,,,,
Check,VERO,FALSO,FALSO,FALSO,FALSO,FALSO,,,,,,
